-50.35 -19.89   0.00   0.00   2.81   0.60   0.00   0.00   0.00   0.00   0.00   0.00   2.44   0.33   0.48   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   5.79   0.00   0.00   0.00   0.34   1.88  13.05   5.91   1.55   0.22  14.15   7.23   0.00   0.00   0.00   0.00   8.18  29.00   2.66
-44.63 -21.28   0.00   0.00   0.00   5.86   0.00   0.47   0.00   0.00   0.00   0.61   9.72   1.25   1.70   1.08   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00  16.67   0.50   9.01   6.93   0.00   0.00   0.00  12.82  14.10   9.37   0.36   0.00   0.00  10.34   0.48   2.53  31.00   0.41   0.00   2.77   4.49
-48.16 -20.25   0.00   0.00   2.10   1.44   0.25   0.00   0.00   0.00   0.00   0.00   2.23   0.28   1.18   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.23   0.00  17.76   0.91   0.00   0.00   3.49  10.22  14.31  10.64   0.62   0.00   3.32   5.89   0.00   0.00  16.54   0.00   2.01  11.63   3.53
-46.95 -21.60   0.00   0.00   0.77   5.35   1.19   0.00   0.00   0.00   0.00   2.03   1.94   0.32   4.67   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   4.06   4.71  21.78   6.15   0.00   0.00   4.20  15.94  15.91   6.21   0.00   0.00   2.40  10.55   0.00   3.97  17.41   0.00   0.73  15.68   3.11
-45.04 -21.14   0.00   0.00   0.00  12.72   0.91   0.00   0.00   0.00   0.00   1.17  11.32   0.00   1.32   0.35   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00  12.30   2.32   7.96   3.08   0.00   0.00   0.00   7.72   9.90  10.87   0.32   0.00   0.23  11.96   0.35   0.52  26.65   0.00   0.00   5.67   5.90
-46.32 -20.67   0.00   0.00   0.00  15.63   0.87   0.00   0.00   0.00   0.00   6.86   3.50   0.00   3.23   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   6.71   2.98  17.31   2.46   0.00   0.00   3.17   9.72  13.55   6.30   0.00   0.00   0.91   6.52   0.23   0.92  23.37   0.20   0.00   9.31   2.97
-49.18 -20.30   0.00   0.00   2.17   1.34   0.34   0.00   0.00   0.00   0.00   0.24   1.77   0.38   1.01   0.27   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.41   0.38  11.20   0.65   0.00   0.00   2.47  10.06  12.75   6.59   1.45   0.00   6.85   7.30   0.00   0.29   4.56   0.00   5.97  22.36   4.51
-45.67 -21.59   0.00   0.00   0.38   5.54   2.72   0.25   0.00   0.00   0.00   9.85  11.57   2.46   2.86   0.40   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00  13.28   3.69  15.38   5.79   0.23   0.00   8.62  14.89  21.77   2.82   0.00   0.00   1.11   6.42   0.42   5.62  15.80   0.30   0.00  16.78   8.08
-48.18 -21.02   0.00   0.00   1.00   4.97   1.47   0.00   0.00   0.00   0.00   1.36   4.12   0.89   0.45   0.00   0.00   0.00   0.26   0.00   0.00   0.00   0.00   0.00   0.00   0.00   2.39   4.07  16.02   4.12   0.00   0.00   5.47  18.37  17.89   3.00   0.22   0.00   5.33  11.19   0.00   3.27   2.68   0.00   4.32  24.58   2.12
-45.49 -21.61   0.00   0.00   0.00   7.40   4.22   1.08   0.00   0.00   0.00   6.68  15.77   2.33   1.91   1.04   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00  19.05   2.16  13.37   8.33   0.00   0.00   4.09  12.38  25.25   4.22   0.00   0.00   0.00   5.16   0.22   3.56  22.67   0.00   0.00  15.45   5.09
-48.55 -20.00   0.00   0.00   2.51   3.47   0.00   0.00   0.00   0.00   0.00   0.00   2.07   0.00   1.48   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.36   0.45  11.24   0.89   0.00   0.00   0.77   4.56  18.42  10.58   1.86   0.00   3.66   6.92   0.00   0.00  15.86   0.59   1.21   6.83   5.37
-51.65 -26.00   0.00  17.27   0.00   1.31  35.00  12.34   0.00   0.82   0.29  30.44   4.37   0.81   0.00   0.30   0.00   9.78   0.00   0.00   0.00   0.00   0.00   0.00   0.77   1.38   0.67   0.27   6.79   0.56   0.00  20.65  12.23   4.00   0.30   0.42   0.60   1.20  15.47   1.89   0.00   0.00   0.00   2.90  35.00   0.73   0.00
