-53.53 -22.38      0     21    4.3   13.9      0      0      0    0.2    0.9    1.7    2.7    3.5      4    2.3    0.7   10.7      0      0      0      0      0   7.41      0      0      0   1.01      0      0     21   0.24   0.71      0      0      0      0      0   0.39  10.02      0      0      0     21     21     21     21
-53.17 -23.18    0.4   16.1    8.2   12.1    0.1    0.1    0.1    1.3      4    7.8   10.9   10.9    7.5    5.8    2.2  20.16      0      0      0      0      0   5.93   2.38   1.17  20.71   1.24      0   1.55   6.27      0      0      0      0      0      0      0   0.94  10.05  20.02   6.81   2.58  11.55  11.55  11.55  11.55
-48.54 -17.99      0      0      0    0.2      0    0.5      0      0      0      0    0.1    0.4    0.3    0.2   0.41   3.53   5.04   0.64   1.28      0      0      0      0      0      0      0      0      0      0      0    0.5      0      0      0      0   0.23      0      0      0      0   4.38   8.13   8.13   8.13   8.13
-48.67 -16.15      0      0      0    0.1    0.1      0      0      0      0      0      0    0.7    0.9    0.2      0   3.24   11.1   0.64   1.43      0      0      0      0      0      0      0      0      0      0      0   0.71      0   0.31   0.31      0   0.38      0      0      0      0   3.08   16.5   16.5   16.5   16.5
-47.98 -18.45      0      0    0.1    1.1    0.8      0    0.7      0    0.1    0.3    0.4      1    0.4    0.3   4.07  16.53    2.6   0.99   0.72      0      0      0      0      0      0      0      0      0      0   2.33   1.22      0      0      0      0      0      0      0      0      0   1.88  19.62  19.62  19.62  19.62
 -49.1 -18.42      0      0    0.1    0.4    0.8      0      0      0      0    0.1    0.2    0.4    0.2    0.1   2.25  13.68   1.05    0.3      0      0      0      0      0      0      0      0      0      0      0      0   0.36      0      0      0      0      0      0      0      0   0.49   3.03   15.1   15.1   15.1   15.1
 -47.7 -19.13      0      0    0.5    1.6    3.1      0    0.7      0    0.1    0.3    0.5    0.9    0.3    0.4   2.33     31    0.7      0      0      0      0      0      0      0      0      0      0      0      0   0.77   1.02      0      0      0      0      0      0      0      0   0.88   0.45  19.98  19.98  19.98  19.98
-50.16 -18.07      0      0    0.1    0.3      0      0      0      0    0.1    0.2    0.4    0.5    0.5    0.6      0   10.4   2.54   0.25      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0   1.34   0.29      0      0      0   0.41   3.62   8.26  10.42  10.42  10.42  10.42
-47.68 -18.05      0      0      0    0.3    0.1      0      0      0    0.1    0.1    0.1    1.1    0.6    0.3    0.5   2.57   4.83   0.53   1.66      0      0      0      0      0      0      0      0      0      0      0   0.23      0      0      0      0      0      0      0      0      0   0.99  14.28  14.28  14.28  14.28
 -50.5 -19.02      0      0    0.7    1.3    0.4      0      0      0    0.1    0.5    0.7    1.1    0.6    0.5   1.81   8.49   1.38   0.32      0      0      0      0      0      0      0      0      0      0      0   0.47      0      0      0   0.48      0   0.32      0      0   0.22    2.6   9.12  12.53  12.53  12.53  12.53
